label,method,lambda,search_valid_acc,expected_cost,expected_cost_reduction_pct,discrete_macs_m,discrete_macs_reduction_pct,params_m,params_reduction_pct,retrain_test_acc,retrain_params_m_logged,conv_macs_m,linear_macs_m,pool_ops_m,search_dir,eval_dir
lambda=1e-2,CG-DARTS,1e-2,86.352,7.81051493,,456.778368,0.0,2.865502,0.0,93.599998,2.865502,455.77728,0.00576,0.995328,cnn/search-cg-cg-params-lambda1em2-seed2-20260521-100845,cnn/eval-eval-cg-cg-params-lambda1em2-seed2-20260521-100845-20260521-135759
lambda=5e-2,CG-DARTS,5e-2,86.12,4.69191265,,310.63104,31.995238443515785,1.909918,33.347874124673446,94.219997,1.909918,309.38112,0.00576,1.24416,cnn/search-cg-cg-params-lambda5em2-seed2-20260521-100845,cnn/eval-eval-cg-cg-params-lambda5em2-seed2-20260521-100845-20260521-135800
